id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
2480117,2,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Shampoo,""translation missing: en.hosting_amenity_50""}",0.5,Real Bed,1,1,0.5,-1,"Our beautiful home features the Roomy Teal Room! It is the Master Bedroom of the house and comes with a private half bath (sink and toilet). It's very spacious and comfy. We have wifi!!! Amanda ((PHONE NUMBER HIDDEN) Live in house manager Our space is clean and comfortable. Amanda is the house manager and stays in the third room of the house and the other two rooms in the house are rented out the Airbnb verified renters only. House is very clean and follows a no shoes inside policy. We have a no shoes in house policy to keep carpets clean and we are vegan so we don't allow any animal products or pets in the house. Location is next to the 405 and 10 freeways. 15 mins from the airport and the beach. Plenty of banks, grocery stores, public transportation and shops within walking distance. Gas fireplace and comfy couch kept neat and clean at all times. We look forward to meeting you! House had reverse osmosis drinking water and a full water filtration system throughout the house. So all yo",15.0,2014-04-13,2,0.8316,0.1,1,0.001,0.75,0.9433106575963719,0.02,4.8,1,1,36.21754657608416,https://www.airbnb.com/rooms/2480117,-86.84397105963757,1125,2,Roomy Teal Room,0.0,0.0,0.098,85.0,House,0.9,0.9,0.9,0.9,0.8,0.84,0.9,3.35,Private room,100.0,0.9593,,0.7964,0.0,https://a2.muscache.com/im/pictures/33994658/c3565c83_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/33994658/c3565c83_original.jpg?aki_policy=small,0.9576,3.9115863486730267,"{'2014-04-13': 4.047041190695456, '2014-08-12': 3.225197627566725, '2015-07-13': 4.109439942720416, '2016-01-18': 3.95961030773417, '2016-08-04': 4.235225848054942}",0.8,4.1999160016799655
11626617,3,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Gym,""Pets live on this property"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,10.0,"Enjoy this 1 bedroom with a spacious upstairs. Access to movie room and game area. Shared bathroom. This spacious home gives you your own space and is far enough from downtown to take a break from the hustle and bustle but close enough to go on back for more! Enjoy access to the upstairs movie room, game area, your bedroom, a shared bathroom, washer/dryer upon request and gym upon reservation. We love to share our knowledge of Nashville with our guests if anyone wants suggestions and recommendations! Please enjoy in house transportation services cheaper than über or lyft! We are personal trainers and offer 1/2 off sessions to any guest! Get a quick 1 hour work out in for ONLY $25!",30.0,2016-03-21,2,0.984,0.1,0,0.001,1.0,0.8540145985401459,0.07,2.0,0,0,36.223151368427985,https://www.airbnb.com/rooms/11626617,-86.87424756241364,1125,1,Upstairs room! Close to DT,0.0,0.0,0.007,75.0,House,0.9,0.9,0.8,0.9,0.9,0.89,0.8,1.24,Private room,-1,0.0,,0.6808,0.6996,https://a2.muscache.com/im/pictures/171a6704-50dc-4a11-9984-604d9f4f5ad5.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/171a6704-50dc-4a11-9984-604d9f4f5ad5.jpg?aki_policy=small,0.9821,-0.37737810423791623,"{'2016-03-21': -0.8233406134797006, '2016-04-17': -0.09135525318690703, '2016-05-01': -0.04075626516666812, '2016-06-24': -0.8663397534968995, '2016-09-04': 0.09484102288757097}",1.1,0.0
10423877,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.0,40.0,Come enjoy The Loft.  This brand new space is located near the heart of Lockeland Springs walking distance to 5 Points and all it has to offer.  The private entrance and treetop views provide a calming getaway for your stay.,50.0,2016-02-15,2,0.0,0.10638297872340426,0,0.001,0.75,0.8050682261208577,0.01,2.9,0,1,36.17960016718772,https://www.airbnb.com/rooms/10423877,-86.74565158851023,1125,1,East Nashville Loft,0.0,0.0,0.05,125.0,Loft,1.0,1.0,1.0,1.0,1.0,0.98,1.0,7.32,Entire home/apt,750.0,0.0,,0.7096,0.0,https://a2.muscache.com/im/pictures/b2ab2e5c-1a38-4a4f-8f7c-ba1d6b1f29fa.jpg?aki_policy=large,,0.7096,1.7805702039959215,"{'2016-02-15': 1.5387190410561227, '2016-04-09': 1.9161914916071106, '2016-05-27': 1.9073116692035534, '2016-07-04': 1.9492308308203257, '2016-09-04': 1.5913979874771897}",-0.5,1.5999680006399886
13237845,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,100.0,"My home is close to 5 Points and all that East Nashville has to offer.  From the bright, eat-in gourmet kitchen and covered porch to the comfortable queen bed with high count cotton bedding,this cottage is good for couples, solo adventurers, and business travelers. There is a large private backyard with mature trees. The front porch had a porch swing and seating for relaxing after a long day. Entire house except for 1 bedroom Whenever they need me. In Nashville it's best to have a car,  the public transit here is lacking.  Über and other services are available of course. Lots of neighborhood amenities within 3-8 blocks.",25.0,2016-06-14,1,0.0,0.15384615384615385,1,0.0011111111111111111,0.75,0.7311827956989247,0.01,5.0,0,1,36.17735335557276,https://www.airbnb.com/rooms/13237845,-86.73986600442427,30,3,East Nashville Cottage with Porch,0.0,-0.2263,0.006,150.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.12,Entire home/apt,100.0,0.7184,,0.875,0.6369,https://a2.muscache.com/im/pictures/9cd0ded5-b021-4b17-be8d-f938dab4bbf3.jpg?aki_policy=large,,0.9601,6.0732397098058035,"{'2016-06-14': 5.472451725489892, '2016-06-27': 6.4512321498814, '2016-07-04': 6.476031653891322, '2016-08-04': 6.506031053903319, '2016-09-04': 6.0612399497254055}",-0.3,5.999880002399952
1537921,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",1.0,Real Bed,1,1,0.0,35.0,"Conveniently located in the trendy  neighborhood of East Nashville near the Historic 5 Points area, you will discover hip local bars, local eats and eclectic boutiques. All of Nashville's exciting downtown attractions are just minutes away.   Located in the popular East Nashville neighborhood a hidden garden oasis awaits you as you enter the courtyard through your completely private entrance. The guest cottage was originally a railroad workers home and one of the oldest structures in the neighborhood. Built in the mid 1800’s, the now renovated cottage is a unique hideaway close to downtown and reflects a love of art, gardening and the comforts of your “home away from home”. It is perfect for a single person or couple to enjoy a restful and cozy environment after a full day of visiting Music City.   The guest cottage is run by two culturally experienced, open-minded, world travelers who offer a practical, comfortable and inspired visit for people who, given the correct amenities and loc",0.0,2013-09-02,1,0.836,0.10638297872340426,1,0.001,1.0,0.9614791987673343,0.01,4.8,0,1,36.167939346986905,https://www.airbnb.com/rooms/1537921,-86.73759203871388,1125,2,Private East Nashville Cozy Cottage,0.2944,0.4466,0.097,128.0,House,1.0,1.0,1.0,1.0,0.9,0.97,1.0,2.64,Entire home/apt,200.0,0.9828,,0.7184,0.0387,https://a2.muscache.com/im/pictures/48406622/fb997a74_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/48406622/fb997a74_original.jpg?aki_policy=small,0.9853,7.24608502649947,"{'2013-09-02': 7.430363402698176, '2014-04-19': 7.374244525075731, '2015-03-26': 7.2587078884400436, '2016-01-02': 7.0390070192995315, '2016-08-26': 7.111658197854903}",-0.3,7.199856002879942
4013290,4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2.0,Real Bed,2,2,0.0,40.0,"Cozy home in the middle of East Nashville. Lots of natural light and unique features. Less than 15 minute walk to 5 points (3 minute drive). 10 minute drive to downtown. The east side is the hippest neighborhood in Nashville. I hardly leave this side of town! Comfortable 2b/2b, 1935 craftsman.  House has lots of windows, plants, and a well used kitchen.  A nice reading room/den/second bedroom with futon.  Features covered front porch and shaded back deck, with a lush garden of fruit trees, vegetables, herbs, and flowers.     I use natural cleaning supplies, provide organic/local bathroom amenities, and organic bedding. Make yourself at home!  Please treat it like your own, or one of your good friend's home.  Please feel free to use the kitchen, fridge, washer/dryer, record player, TV (no cable, but DVD player), or pick up a book that looks interesting.  Internet access is available.  Usually, I have pretty good coffee and tea around, again, make yourself at home. I am available as much",0.0,2014-09-15,2,0.9485,0.1,1,0.001,0.75,0.900596421471173,0.01,3.6,0,1,36.18494268008417,https://www.airbnb.com/rooms/4013290,-86.74255160132839,20,1,East Nashville urban retreat,0.6249,0.7579,0.05,300.0,House,1.0,1.0,1.0,1.0,1.0,0.96,0.9,2.07,Entire home/apt,200.0,0.8658,,0.4376,0.6588,https://a1.muscache.com/im/pictures/64769406/a41597a6_original.jpg?aki_policy=large,,0.9786,7.424102802143958,"{'2014-09-15': 7.5145889925143825, '2015-04-03': 7.1751557811786135, '2015-08-12': 7.347272338847456, '2016-01-03': 7.561068062932978, '2016-07-12': 7.522428835717524}",0.2,7.5998480030399405
9386566,10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2.0,Real Bed,4,8,0.5,125.0,"4 BEDROOM 2 BATH NEWLY FURNISHED HOME .2 MILES FROM RED HOT 5 POINTS. YOU LITERATELY CAN'T GET ANY CLOSER TO EAST NASHVILLE'S NIGHT LIFE THAN THIS. WALKING DISTANCE TO ALL THE GREAT BARS, RESTAURANTS, AND MUSIC VENUES EAST NASHVILLE HAS TO OFFER.",25.0,2016-01-03,8,0.0,0.1,0,0.001,1.0,0.8248686514886164,0.02,2.9,1,1,36.17688766841605,https://www.airbnb.com/rooms/9386566,-86.75292848457589,1125,2,"LOCATION, LOCATION, LOCATION!!!!!!!",0.0,0.0,0.023,500.0,House,1.0,1.0,1.0,1.0,0.9,0.97,0.9,2.78,Entire home/apt,400.0,0.0,,0.7034,0.0,https://a2.muscache.com/im/pictures/2044c99d-5813-44d6-8f18-824d0d482420.jpg?aki_policy=large,,0.7034,1.354553595728084,"{'2016-01-03': 1.5287031562345954, '2016-03-22': 1.3072675849460236, '2016-05-15': 1.5100635290271416, '2016-07-18': 1.1600705288871431, '2016-08-29': 1.1960698089015407}",-0.4,1.1999760004799898
637425,2,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,Real Bed,1,1,0.0,-1,"Our home, Built in 1890, Is a beautiful Victorian that has all the touches of modern living. Very spacious and bright, this residence is designed to make you feel right at home. We are located in the very trendy area called East Nashville where we are 3 miles from Downtown, 15 min. from the airport, 10 min. from the Opryland Hotel complex/mall and not far from all the cool places to visit aroud Nashville . This is a very eclectic neighborhood where you will find plenty of fun , Join us ! PLEASE READ THE DESCRIPTION BEFORE INQUIRING , THANKS  Welcome to ""The ART room ""and please Read the description before inquiring .Thank you ! This bedroom, unlike the other 2 we offer, is located in the our basement. With that being said the room is bright and airy with lots of modern ART on the walls . You will find the grand KING bed very cozy with memory   mattress   . You also have a desk, dresser and a walk in closet at your disposal  . Since you are in the basement and away from the other 2 bedr",25.0,2012-08-20,1,0.9942,0.1,1,0.001,1.0,0.9456226209896683,0.03,5.0,0,1,36.19185302575237,https://www.airbnb.com/rooms/637425,-86.74474822865686,14,1,French Flair #3 : The Art bedroom,0.9442,0.6486,0.078,79.0,House,1.0,1.0,1.0,1.0,0.9,0.95,0.9,1.58,Private room,150.0,0.984,,0.9344,-0.296,https://a1.muscache.com/im/pictures/77235446/036dbc84_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/77235446/036dbc84_original.jpg?aki_policy=small,0.9873,8.993740546789063,"{'2012-08-20': 8.706110401989894, '2013-10-23': 9.22475002919735, '2014-09-23': 9.096727589646141, '2015-09-27': 9.127915299225283, '2016-07-31': 8.810108322031493}",-0.5,8.79982400351993
8886777,4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,2,2,0.0,50.0,"Recently renovated East Nashville townhouse (sleeps 4) situated on quiet tree-lined street in Historic Edgefield. Memory foam mattresses and a sophisticated decor await your visit. Five minute walk to 5 Points, convenient to downtown and interstate. We look forward to greeting you upon your arrival to our urban oasis, which sits on one of East Nashville's most coveted streets and features all the amenities you're looking for and more. At the end of your long days (or nights), you'll come home to two bedrooms featuring queen size memory foam mattresses and plush pillows, all fitted with hypoallergenic protectors and tucked under soft linens. We don't lock out our thermostat like some hosts do - you'll have full control of the heating and cooling. Don't feel like venturing out? Order a pie from Five Points Pizza and turn on the HDTV complete with BluRay/DVD player and over 250 streaming apps including Netflix, Hulu Plus, Amazon Instant Video and more. Using our 802.11ac-compatible high-s",25.0,2016-01-18,2,0.8807,0.1,1,0.001,1.0,0.9229583975346687,0.01,3.6,0,1,36.170561094429694,https://www.airbnb.com/rooms/8886777,-86.75817941671248,31,2,Chic & Tranquil East Nashville Home,0.9633,0.8555,0.041,147.0,Townhouse,1.0,1.0,1.0,1.0,1.0,0.99,1.0,5.28,Entire home/apt,300.0,0.8074,,0.6124,0.5267,https://a2.muscache.com/im/pictures/11e87425-3a76-4012-98f0-789a9786c937.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/11e87425-3a76-4012-98f0-789a9786c937.jpg?aki_policy=small,0.9062,8.804425834883302,"{'2016-01-18': 8.823190771247063, '2016-03-29': 8.894383791831093, '2016-05-19': 8.840734864809635, '2016-07-17': 8.735686965767615, '2016-08-30': 8.725787163763655}",-0.2,8.79982400351993
259433,3,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,-1,"Light-filled new basement apartment in a safe residential neighborhood only 4 miles from downtown! The open space has a queen bed, private bathroom and kitchen. Enjoy off-street parking, a separate entrance and access to our 1/2-acre backyard garden! You'll have your own 350 square foot efficiency apartment, complete with full kitchen (oven, microwave, fridge, freezer, garbage disposal), queen size bed, closet, bathroom with large shower and heated tile floor.  The apartment has a private entrance under the carport.  You have your own heating/cooling unit. The concrete floor is cool, so we recommend you pack slippers. The city of Nashville requires AirBnB hosts to collect a 6% Hotel tax and $2.50 per night occupancy tax. AirBnB is not set up to automatically add this fee to the total bill. Rather than increase our rates (which would increase the total tax bill) we will put an envelope with a tax bill on the table in the apartment which you can pay with cash or check. Hopefully AirBnB w",20.0,2016-02-15,2,0.8885,0.1,1,0.001,1.0,0.9524940617577197,0.01,4.8,0,1,36.18486008365267,https://www.airbnb.com/rooms/259433,-86.71416818040196,760,1,Private East Nashville Apartment,0.9584,0.7184,0.057,95.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.99,1.0,8.34,Entire home/apt,-1,0.7343,,0.7707,-0.5563,https://a2.muscache.com/im/pictures/bacdeebd-3d8d-4f2c-8aa7-cfdc54b284e9.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/bacdeebd-3d8d-4f2c-8aa7-cfdc54b284e9.jpg?aki_policy=small,0.9593,8.576053607127857,"{'2016-02-15': 8.539028031790908, '2016-04-04': 8.604060064483583, '2016-05-22': 8.740178554235005, '2016-07-17': 8.504655991958979, '2016-08-28': 8.493165312681656}",-0.2,8.399832003359931
