id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
12622842,1,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,-1,"My house is minutes away from downtown Denver and close to great restaurants, fun hang out places, bars, coffee shops, Coors Field, Regis University, and more! This listing is for a private room with a single bed and a shared bathroom. Happy to host! In this cozy and simple room there is a twin bed with freshly washed bedding, a desk if you need some workspace, clean towels, and extra blankets if you need them. The bathroom is the only one in the house so we'll share. The house is homey and comfortable with a little bit of old-age character. I encourage my guests to make themselves at home! In addition to the room you book you will be able to freely access the bathroom, living room, kitchen, laundry room, and backyard. I am usually around at night, but love it when I get the chance to interact with guests. That said, I respect your privacy and a quiet resting space if that's what you want! Denver is quite the city with many places worth exploring! I live in Chaffee Park, where you can ",0.0,2016-04-26,1,0.0,0.10416666666666667,1,0.001,0.75,0.8573466476462197,0.03,4.8,0,1,39.790849449379685,https://www.airbnb.com/rooms/12622842,-105.00931291040956,1125,2,Single Bed in a Cozy Denver Home!!!,0.6562,0.9328,0.005,35.0,House,1.0,1.0,1.0,1.0,0.9,1.0,1.0,5,Private room,-1,0.9016,,0.9335,0.5106,https://a2.muscache.com/im/pictures/ce3df282-867a-42a5-9af9-bdff5a163b50.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/ce3df282-867a-42a5-9af9-bdff5a163b50.jpg?aki_policy=small,0.9849,7.2524981915425535,"{'2016-04-26': 7.332436374344768, '2016-05-02': 7.327587962957059, '2016-05-04': 7.311224574523552, '2016-05-11': 7.076985699354996, '2016-05-15': 7.214256346769426}",-0.1,7.272617081559371
7510774,5,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,3,2,0.5,40.0,"A clean, comfortable, quiet home with a large backyard. Grill on the deck, quiet neighborhood, 5 min drive to downtown, easy access to I70, washer + dryer, shower + bathtub, dogs welcome, Free wifi, HD TV, couch in room, hardwood floors 2 bedrooms (1 CA.King and 1 queen) and 1 meditation room in addition to a living room and kitchen. The kitchen has a gas stove. The back yard has a large deck and chairs for lounging. I am happy to help you with your travel questions. I know Denver and the mountains well and can definitely point you in the right direction. I am always available. Beautiful Zuni park is one block away with gorgeous views of Denver. 15 minute bike ride, 5 minute drive to downtown Denver. Buss stop on our corner, 10 minute buss ride direct to Union Station (only one stop before you get their). NO parties, I have great respect for my neighbors. Please keep the noise to a minimum.",40.0,2015-09-07,2,0.6369,0.14084507042253522,1,0.0011111111111111111,0.75,0.8563218390804598,0.02,3.6,0,1,39.785427236042594,https://www.airbnb.com/rooms/7510774,-105.01364895984332,1125,1,Cozy Bungalow Down Town Denver,0.7184,0.8507,0.007,129.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,Entire home/apt,150.0,0.0,,0.9349,-0.5267,https://a1.muscache.com/im/pictures/96115484/3402ecdf_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/96115484/3402ecdf_original.jpg?aki_policy=small,0.9885,4.833484369782275,"{'2015-09-07': 4.934370287122646, '2015-09-21': 4.871037913370736, '2016-01-14': 4.593617874280419, '2016-01-23': 4.821796235214346, '2016-03-24': 4.808160078186422}",0.0,4.848411387706247
4581104,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",1.0,Real Bed,1,1,1.0,-1,"Welcoming, peaceful space....Very clean, neat, comfortable bedroom and private bath with the option to use both the kitchen and laundry areas. Home away from home! Welcoming, peaceful space....Very clean, neat, comfortable bedroom and private bath with the option to use both the kitchen and laundry areas. Home away from home! Private bedroom and bath.  Access to kitchen and laundry. Happy to provide suggestions for dining, craft beer, sights, hiking...but content to allow for privacy as well. Excellent location for work downtown, visitors to Denver and those who want to explore the city!  Close to several parks, restaurants, coffee shops and breweries. Just minutes from the hip neighborhoods of Highlands, Sunnyside, LoHi and Tennyson.  Bus stop is just a few blocks away.  Easy access to downtown, I70 and 125. I have two dogs, Nemo, the Greyhound and Ernie the pug.  Must love dogs! Kitchen, living room and laundry. I work full time, so I have a fairly busy schedule.  I like to be of ass",10.0,2015-05-16,1,0.9681,0.1,1,0.001,0.5,0.9280057595392368,0.01,6.0,0,1,39.788233891816944,https://www.airbnb.com/rooms/4581104,-105.00635422006506,14,2,Adorable home near downtown Denver,0.6249,0.6696,0.013,50.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.05,Private room,-1,0.9844,,0.937,0.25,https://a1.muscache.com/im/pictures/57525505/5d5855d1_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/57525505/5d5855d1_original.jpg?aki_policy=small,0.9923,8.080295693398586,"{'2015-05-16': 7.286850061797939, '2015-07-06': 8.378045649743576, '2015-07-27': 8.397035261012093, '2015-08-20': 8.406479562361062, '2016-02-02': 8.022545985597073}",-0.2,8.030181360888474
4244250,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in""}",1.0,Real Bed,1,1,0.5,12.0,"Our guest bedroom is located in Denver, just a quick 12 minute bike ride from downtown. We have a historic, 100 year old house that's in a quiet part of town that's close to all the greatest parts of Denver, but especially the Highlands neighborhood. Our Space is located just north of the Highlands neighborhood and is accessible via I-25 as well as I-70. We're only a 12 minute bike ride to LoDo and it's a quick drive almost anywhere in Denver. Our space is in our own house. My wife and I live in the house as well (also upstairs). We have a dog named Kodak, who is very friendly to people and kids. The room has it's own rear exit, so you can enter and exit the house without having to use the front door. We'll provide you with clean sheets, towels, and blankets. Our house is NOT 420 friendly and we kindly ask that you don't bring anything into our home or onto our property. If you smoke (tobacco) we ask that you please step outside to smoke on the back porch or our back yard. No smoking i",15.0,2014-10-30,1,0.9451,0.15873015873015872,1,0.001,0.75,0.9492127983748095,0.02,5.8,0,1,39.78513449532062,https://www.airbnb.com/rooms/4244250,-105.01595117409865,100,1,Single Room in Historic Sunnyside,0.7906,0.0,0.022,44.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.17,Private room,-1,0.945,,0.3818,0.2732,https://a2.muscache.com/im/pictures/128342e4-e69a-43ea-bd54-56e6a9cad28f.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/128342e4-e69a-43ea-bd54-56e6a9cad28f.jpg?aki_policy=small,0.9785,7.579078870774686,"{'2014-10-30': 7.594858246009288, '2015-03-22': 7.706432313068882, '2015-05-27': 7.669917714805219, '2015-10-04': 7.623630537338212, '2016-02-02': 7.264772338220013}",-1.0,7.272617081559371
3395085,4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",1.0,Real Bed,1,2,0.5,50.0,"The entire main floor of this charming home is yours!   Master suite with private bath will have you feeling like you are at home. Clean, updated space, new kitchen, granite, stainless steel, gas stove, dining room table for four and a bar top for 2.  Updated private bathroom, private bedroom, hardwood floors throughout, covered outdoor patio through french doors outside of dining area. Two rooms are available, one master with queen bed.  The second bedroom has a queen bed also. The per day fee applies to the master with one or two adults.  A $50 fee applies per night, per person for use of the second bedroom. I prefer to meet guests in person to show you the space, give you details and answer questions.   Should I be out of town, I will message the location of the spare key. I have a large three bedroom, one bath basement I will occupy.  The kitchen(on main level) and laundry which is in the basement would be common areas.  I work 4-5 days per week.  I have two boys that are in the ho",25.0,2014-07-17,2,0.923,0.2,1,0.001,0.75,0.9071494893221913,0.01,5.0,1,1,39.784787071439936,https://www.airbnb.com/rooms/3395085,-105.02373907632668,150,1,Entire main floor with private bath,0.8979,0.8074,0.029,70.0,House,1.0,1.0,1.0,1.0,0.9,0.98,1.0,1.29,Private room,200.0,0.5423,,0.8313,0.6124,https://a2.muscache.com/im/pictures/44558131/a970f32e_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/44558131/a970f32e_original.jpg?aki_policy=small,0.906,7.986864019181529,"{'2014-07-17': 7.424617226403978, '2015-05-09': 8.252432966569526, '2015-09-30': 8.07905175517374, '2015-12-27': 8.115667362007974, '2016-03-17': 8.077688139470947}",0.3,8.030181360888474
10549975,4,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""Laptop Friendly Workspace""}",1.0,Real Bed,2,2,0.0,40.0,"Charming single family home with open floor plan in Sunnyside, close to  Lohi and Downtown. Dog friendly with fully enclosed back yard Includes WiFi, TV, blueray player, washer/dryer, small kitchen with gas stove, full sized refrigerator, disposal This 2-bedroom home is a small house with a wide open feel. One bedroom has a futon with a foam mattress while the other room has a queen bed. There is a couch in the living room. The living area is warm and cozy, opening to the kitchen. The house has a small backyard and covered patio for use during your visit. This is our full time residence that we rent while we are away camping or traveling for weekends or occasionally longer trips. We will not see you, but there will be someone that you can contact during your stay. Our neighborhood is located ""close to everything."" It does not have many bars within walking distance, but can access anything in Denver quickly. It is on the Northwest side, around 2 miles to Berkley, the Highlands, LoHi, an",0.0,2016-01-18,1,0.0,0.1,0,0.001,0.5,0.8031496062992126,0.01,2.9,0,1,39.78709025535522,https://www.airbnb.com/rooms/10549975,-105.00863785389876,1125,1,"Cute, single family Sunnyside home",0.0,0.0,0.007,90.0,House,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.74,Entire home/apt,150.0,0.2263,,0.7906,0.6448,https://a2.muscache.com/im/pictures/91313198-4091-4886-a1b3-a78d67ec2d11.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/91313198-4091-4886-a1b3-a78d67ec2d11.jpg?aki_policy=small,0.6059,2.3970729284404775,"{'2016-01-18': 2.4583490562717576, '2016-01-23': 2.435319102180153, '2016-03-27': 2.4972878602292714, '2016-04-10': 2.3906228096997353, '2016-04-24': 2.1042635121133344}",-0.9,2.1211799821214816
5558592,2,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,1.0,25.0,"You will enjoy your Denver visit in my one bedroom loft style apartment. It comfortably fits 2 people and pets are welcome. The Unit is connected to the main house. Private entrance/parking.  No stove, set up like hotel.  We are 420 friendly for responsible outdoor use. The guests have access to the apartment through their own, private entrance.  There is an off street parking space available, also. I like to meet upon arrival, answer any questions you may have, and give you the key.  I live on the property, so I'm sure we'll have some interaction Local buses (31 and 52) are within blocks and provide access to Downtown Denver.  In a car, you can access the Highland area, Coors Field, or the Convention Center all within 12 minutes or less. Amenities such as bathroom products, extra towels, and coffee/tea are provided.  The outside areas are 4/20 friendly for responsible use.  There is not a stove. There is a microwave available.",0.0,2015-04-11,1,0.0,0.1,1,0.001,1.0,0.8781973203410475,0.01,3.6,0,1,39.78893437216046,https://www.airbnb.com/rooms/5558592,-105.0230983062513,1125,1,Private and Cozy,0.0,0.6705,0.022,125.0,Apartment,0.9,1.0,1.0,1.0,0.9,0.91,0.9,1.63,Entire home/apt,100.0,0.0,,0.93,-0.2263,https://a1.muscache.com/im/pictures/73295025/2e7a907a_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/73295025/2e7a907a_original.jpg?aki_policy=small,0.9701,2.4240771906486254,"{'2015-04-11': 2.0960132907593945, '2015-06-04': 2.4287961273830794, '2015-07-05': 2.3475700853534147, '2015-08-28': 2.659762324864936, '2016-05-16': 2.669080365500684}",0.8,2.727231405584763
8427693,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,5.0,"Whether in town for a weekend or all week long, this space has all you need for a great Denver experience. In a very walkable neighborhood and only a 5 min bus ride downtown, restaurants & coffee shops abound right outside our front door. 420 friendly patio. While close enough to activity centers like downtown Denver, the Colorado Convention Center, Pepsi Center, Coors Field, and Sports Authority Field at Mile High to enjoy easy access, our townhouse offers enough distance from the city center to enjoy restaurants and coffee shops in a walkable neighborhood.  The enclosed back patio is very popular throughout the warmer seasons, offering fresh air and  comfortable seats to kick back in. This space includes a private bedroom and bathroom on the home's second floor.  Front and back entrances to the house are shared by all, with direct access to the living room, kitchen, and back patio through those doors.   Living Room: This general space is not a lounge or public area intended for guest",0.0,2016-01-09,1,0.9442,0.1,1,0.001,1.0,0.879372738238842,0.02,5.8,0,1,39.77408135887975,https://www.airbnb.com/rooms/8427693,-105.01204865539368,30,2,"Comfy, Prvt Bd/Ba in a  Great Area!",0.7845,0.8971,0.024,54.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,5.54,Private room,-1,0.9682,,0.8074,0.5574,https://a2.muscache.com/im/pictures/69bfacce-8e8b-4f56-b5e1-47ba9d7de1b7.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/69bfacce-8e8b-4f56-b5e1-47ba9d7de1b7.jpg?aki_policy=small,0.9844,9.032790827108682,"{'2016-01-09': 9.065676692510548, '2016-03-17': 8.998889825644888, '2016-04-06': 9.05949496799122, '2016-04-24': 9.085373363773101, '2016-05-12': 8.934951400469515}",-0.3,8.939258496083394
6348993,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,10.0,"For the wknd, week, or all month long, this listing has all you need for a great Denver experience.  Very walkable and only a 5 min bus ride downtown, restaurants & coffee shops abound right outside the front door. Relaxed home with a 420 friendly patio. You'll have the whole finished basement to yourself for privacy here.  The home's kitchen, general living area, and access to the patio are located on the ground level, with another guest quarters, laundry facilities, and the owner's master bedroom sharing the second floor. The ground level includes a kitchen, living room, dining area, and enclosed patio, which are all available to our AirBnB guests. If you'd like to do laundry then just let us know, as that is available on the second floor. We will be available to answer questions and help out with general information about the area, including local restaurants and neighborhood resources like stores, bicycle rental, and parks.  With busy schedules that personal interaction may be limi",0.0,2015-06-19,1,0.9442,0.1,1,0.001,1.0,0.879372738238842,0.02,5.8,0,1,39.771404038411205,https://www.airbnb.com/rooms/6348993,-105.01277676986871,30,2,"Cozy, Private, Spacious Bed/Bath",0.8897,0.8957,0.079,49.0,House,1.0,1.0,1.0,1.0,1.0,0.99,1.0,7.10,Private room,-1,0.4215,,0.8885,0.7096,https://a2.muscache.com/im/pictures/8690d2af-824f-4298-b8d7-e9702d56c7d9.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/8690d2af-824f-4298-b8d7-e9702d56c7d9.jpg?aki_policy=small,0.9638,9.247654947955338,"{'2015-06-19': 9.229268910810264, '2015-08-15': 9.266389560497391, '2015-10-17': 9.3091730031725, '2016-01-12': 9.117528179609227, '2016-05-12': 9.320465761363034}",0.2,9.393797063680855
3412478,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Futon,1,1,0.0,15.0,"Our home is close to Lower Highlands, Highlands, Lower Downtown, Downtown & Interstates for easy food/shopping/mountain access.  Walk, drive or bus it to locally owned coffee shops, brew pubs, bars & restaurants.  We are on the edge of urban culture. My bungalow is a family home with Rock N Roll artifacts and artwork from the industry that I have been a part of for 15 years.  Your private bedroom on the ground floor with a new full-size futon bed (sleeps 2) located near the bathroom, dining room and kitchen.  There are framed rock posters, art from local artists, and lots of other unique finds.  Our home is clean and tidy (not pristine).  *The DIA RTD light rail opens this Friday April 22nd!  You can take the train from the airport, and transfer to the #6 or #52 bus to come to our block!   The Sunnyside neighborhood is up and coming, and a 10 minute drive to downtown Denver and 35+ min drive to Boulder.  Interstate 70 takes you to all the nearby skiing attractions in a jiffy.  When you",0.0,2014-08-22,2,0.9564,0.1,1,0.001,1.0,0.9069767441860466,0.01,7.2,1,1,39.77267291237921,https://www.airbnb.com/rooms/3412478,-105.0020339065925,14,1,Denver Bungalow With Artsy Vibe,-0.0644,0.9901,0.117,65.0,House,0.9,1.0,0.9,1.0,0.9,0.94,0.9,5.52,Private room,-1,0.9491,,-0.128,0.8221,https://a0.muscache.com/im/pictures/57093653/7fd08080_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/57093653/7fd08080_original.jpg?aki_policy=small,0.3987,6.9970348534113125,"{'2014-08-22': 7.071447414057273, '2015-04-12': 6.980009405542248, '2015-08-30': 6.9576585145039305, '2016-01-11': 6.886355247030379, '2016-05-08': 7.087208593784673}",0.3,7.121104225693552
