id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
5293632,2,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.5,10.0,"Light bright single story home.   Quiet neighborhood, 15 minutes to downtown.  Easy access to shopping and restaurants.  Great backyard with big trees. Single level house is cozy and quiet.  Second room available for 3+ guests. Cable and wifi.  Private bathroom.  Close to public transportation.  Kitchen access. Tri-lingual owner.  Available to discuss and suggest fun things to do in Austin. Neighborhood is quiet.  With well-established old growth trees and well-maintained homes. Close to bus lines. Quiet.  Close to shopping.  Owner is tri-lingual, Spanish, French, English.",19.0,2015-03-16,2,0.6369,0.1,1,0.001,1.0,0.9473407056345445,0.01,4.8,0,1,30.170423708223083,https://www.airbnb.com/rooms/5293632,-97.8699974399975,1125,1,Southwest Austin Retreat,0.3818,0.0,0.02,44.0,House,1.0,1.0,1.0,1.0,1.0,0.99,1.0,2.52,Private room,-1,0.0,,0.872,0.0,https://a2.muscache.com/ac/pictures/66140377/4b5a348e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9413,6.003733367985751,"{'2015-03-16': 5.926369590487032, '2015-04-07': 6.09475325315721, '2015-08-03': 6.043243373051795, '2015-08-24': 6.086732503373355, '2015-10-13': 5.867568119669018}",-0.7,5.833272570077394
4045302,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",1.0,Real Bed,1,1,0.0,50.0,"Our cool and comfortable one bedroom apartment comfortably fits two and is located on a quiet street, just two miles from the grocery store. Vacation Rental/ Nightly Rental This home is located minutes from I35 (Slaughter Exit) and approximately 20 minutes from Circuit of the Americas. (We do require a 2 night minimum during F1 weekend) Easy access to the tollroad. Downtown is a 20 minutes drive! The unit includes one queen size bed, a kitchenette, linens, flat screen TV, and wireless internet. - Late arrivals are no problem, just give us an estimate on arrival time. Guests do have access to swimming pool (unheated). Please no glass in the pool. If we are out of town during your stay there will be no access to pool (liability reasons) unless prior arrangements have been made. For consideration of our neighbors we ask that you are out of the pool by 9:00pm. (specially during the week) Feel free to contact me with any questions! As much or as little as you like. Quite Street, Jogging pat",10.0,2014-10-14,1,0.8805,0.1,1,0.001,1.0,0.9502982107355865,0.01,5.8,0,0,30.151968229337918,https://www.airbnb.com/rooms/4045302,-97.85736967249024,1125,3,"Studio apartment w/ Pvt bath, Pool ",0.4404,0.0,0.009,50.0,House,1.0,1.0,1.0,1.0,1.0,0.93,1.0,0.69,Private room,200.0,-0.3164,,0.8126,0.3182,https://a0.muscache.com/ac/pictures/51366392/37a1b839_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/51366392/37a1b839_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.8865,6.3894031647587015,"{'2014-10-14': 6.336371309750481, '2015-03-18': 6.429807836453327, '2015-06-20': 6.3969956782466415, '2015-06-29': 6.438870242053269, '2015-10-28': 6.300538349677147}",-0.4,6.249934896511496
2853144,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,-1,"The comfort of home nestled in Southwest Austin. Don't let the manicured lawns fool you, we are Texas friendly with folks walking dogs, kids out playing basketball yet convenient to Austin treasures like Alamo Drafthouse & Whole Foods. The guest room has a queen bed that will comfortably accommodate 2 people.  The space includes a walk-in-closet and the main bathroom with a shower and bathtub. The house is a 1990’s style brick home with tall ceilings and an open floor plan. The home boasts a beautifully manicured yard with lots of flowers and greenery. The back yard is adjacent to a wooded area and offers an awesome covered porch perfect for an outdoor breakfast. Be sure to ask me about a SPECIAL DISCOUNT OFFER.   Guests have access to all the common areas, like a:  o Living room including a 42"" flat screen TV with cable & DVD player.   o Breakfast bar area  o Full kitchen with modern appliances o Covered porch in the backyard o Wireless internet o Washer and Dryer You can have as much",20.0,2014-05-12,1,0.5106,0.10638297872340426,1,0.0010309278350515464,1.0,0.9293785310734464,0.09,4.8,0,1,30.189162849076535,https://www.airbnb.com/rooms/2853144,-97.88786222485717,1125,3,South Austin Private room,0.7269,0.0,0.007,50.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,Private room,-1,0.964,,0.836,0.0,https://a1.muscache.com/ac/pictures/37217864/5003c980_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9841,6.950095991187593,"{'2014-05-12': 6.934381869161493, '2014-08-01': 6.971673147377347, '2014-10-17': 6.862090955525177, '2014-10-24': 6.9864646599657565, '2015-07-27': 6.990006289740444}",0.2,6.979093967771169
330710,2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,75.0,"Great location at Central Austin area between 3 major hwy I-35, hwy 183 and hwy 290. Free service: breakfast and wifi. The Special offer for UT student: Free ride to UT. Rental car service and 24 hr airport pick up and ride service available. This is a  furnished room w/privy refrigerator and bathroom.  Zen Stay is ideally for people who enjoy a nice, quiet, clean environment. The living energy level is Peacefully. The services are available include:24 hrs Airport Pick Up and Ride Service.  Laundry Service, Meal Service, Austin City Tour, Grocery Shopping Service are available. Private parking space with security gate. New service: Rental Car Service The food style: Chinese/Taiwan's home made food, American food. The area around our listing has some of the best places to go out in the city! If you like good food, our area has the awesome Latin American food of Costa Del Sol and delicious Mexican food in El Regio. If you want something to do at night, you can grab a beer at The Butterfl",0.0,2012-03-17,1,0.9493,0.1,0,0.001,0.75,0.9505195447798119,0.12,2.9,0,1,30.328618822885176,https://www.airbnb.com/rooms/330710,-97.67665486492619,1825,1,Austin Zen Stay / Longhorn Room 10,0.0,0.0,0.014,55.0,Bed & Breakfast,1.0,1.0,1.0,1.0,0.9,0.99,0.9,0.32,Private room,100.0,0.994,,0.9246,0.0,https://a1.muscache.com/ac/pictures/4299469/a9a73e0a_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/4299469/a9a73e0a_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9939,4.371995184737659,"{'2012-03-17': 4.11221614477417, '2012-05-01': 4.524156298175349, '2013-03-15': 4.494989935324961, '2014-05-13': 4.321380632644085, '2015-10-13': 4.424851777041889}",0.2,4.374954427558046
6629676,2,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",1.0,Real Bed,1,1,0.5,-1,"Our comfortable private  guest room which is nice  and clean. With free WiFi ; separate refrigerator for our guests, attached garage available,Safe friendly neighbor, am sure you will enjoy your stay",10.0,2015-06-07,1,0.0,0.1149425287356322,1,0.001,1.0,0.8635743519781719,0.02,4.8,0,0,30.376729074806224,https://www.airbnb.com/rooms/6629676,-97.6573084643585,1125,1,Nice and quiet private guest room,0.0,0.0,0.006,36.0,House,0.9,1.0,0.8,0.9,0.9,0.87,1.0,1.17,Private room,100.0,0.0,,0.9628,0.0,https://a1.muscache.com/ac/pictures/83554982/f231d0a1_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/83554982/f231d0a1_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9628,4.148780261247279,"{'2015-06-07': 4.073433823931792, '2015-06-15': 4.352389251479422, '2015-06-19': 4.034267565246986, '2015-06-29': 4.332806122137018, '2015-10-11': 4.026350981044739}",-0.7,4.062457682732472
2432311,6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,2,0.5,-1,"Private guest room and bathroom located in new home in quiet neighborhood, North Austin. No additional fees or charges below 4 guests. NOTE: home to a large, friendly DOG--please see note in the detailed description. WE CANNOT ACCEPT SAME-DAY RESERVATIONS The room is the a guest bedroom in our home with a full sized bed that sleeps two comfortably, and private full bath next to the room. We also have two plush twin sized floor mats for a booking of 3-4. The room sleeps up to 4 comfortably, but we can host up to 6 people if a few of your party is fine with sleeping on our large couch. We also have plenty of sheets, pillows, blankets and towels for everyone. Since we just moved in, the room itself is a little under furnished but consequently has lots of space. We will be adding more furniture shortly. Out back, we have a lovely patio space  and firepit ideal for grilling, smoking and general lounging. Check in and check out times are both flexible, so you and your party free to come and ",10.0,2014-03-09,4,0.0,0.1075268817204301,1,0.001,0.75,0.9165971643035863,0.01,3.6,0,1,30.357320598108267,https://www.airbnb.com/rooms/2432311,-97.64198872233816,30,1,Large Private Bed/Bathroom in Home,0.4404,0.2469,0.076,50.0,House,1.0,1.0,0.9,1.0,0.9,0.94,1.0,3.74,Private room,-1,0.9783,,0.4995,0.6968,https://a0.muscache.com/ac/pictures/78145959/9852cc1b_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/78145959/9852cc1b_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9833,5.729422891949042,"{'2014-03-09': 5.903801557936545, '2014-07-12': 5.687074648841847, '2014-10-26': 5.74774068357065, '2015-05-12': 5.509673718990423, '2015-11-02': 5.787198605883961}",0.3,5.833272570077394
3928248,2,"{TV,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,Shampoo}",1.5,Real Bed,1,2,0.0,20.0,"City house with a countryside feel, guests get the best of both worlds in a cozy house on a quiet street only 7 minutes from downtown! This 1800 sqft home is centrally located on the east side of Austin.  7 mins to downtown, 15 mins to UT campus, and 20 mins to the airport, it is just close enough to all the action yet far enough removed to have a nice relaxing dinner on the patio and a good nights sleep on a quiet street in a gated neighborhood.  The house has 3 bedrooms, 2.5 half bath, 2 living rooms, washer and dryer, cable, Internet, outdoor and indoor dining areas. Guests have their own private rooms but may share a bath depending on if the other guest room is also rented. I live on the property, so we share common areas.  However, I'm a full-time student and work full-time so am rarely home but can be if you need me! The French guest room has been furnished with French provincial furniture and an excellent mattress. The Traveller's guest room has been furnished with artifacts fro",25.0,2014-09-01,2,0.0,0.13333333333333333,1,0.001,1.0,0.9134199134199135,0.02,3.6,0,1,30.33455215942941,https://www.airbnb.com/rooms/3928248,-97.65012697255155,28,1,Private Bed in Cozy French House!,0.7906,0.3182,0.014,49.0,House,1.0,1.0,1.0,1.0,0.9,0.99,1.0,0.97,Private room,100.0,0.9422,,0.6696,0.9337,https://a0.muscache.com/ac/pictures/49412558/39a99685_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/49412558/39a99685_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.957,6.827013300903115,"{'2014-09-01': 6.90657596414828, '2015-03-18': 6.824562929561836, '2015-05-25': 6.85990978358766, '2015-07-30': 6.900117698088551, '2015-10-14': 6.552343542958225}",-1.2,6.562431641337069
6749902,2,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Fire Extinguisher""}",1.0,Real Bed,1,1,0.5,-1,"Private room with Free WiFi;Central AC , separate refrigerator and attached garage and covered backyard (email hidden)eat location and nice and quiet neighbor, minutes from shopping centers",10.0,2015-07-03,1,0.0,0.1149425287356322,1,0.001,1.0,0.8635743519781719,0.02,4.8,0,0,30.37688928859114,https://www.airbnb.com/rooms/6749902,-97.65697961257028,1125,1,Cozy and private guest room,0.0,0.0,0.008,36.0,House,0.7,0.9,0.8,0.8,0.9,0.83,0.9,1.86,Private room,100.0,0.0,,0.7269,0.0,https://a0.muscache.com/ac/pictures/85223991/21f26fff_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/85223991/21f26fff_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.7269,2.8159365061822266,"{'2015-07-03': 2.686771185000948, '2015-07-05': 3.49863772805779, '2015-07-12': 1.527720758442891, '2015-09-21': 3.597699196167496, '2015-10-31': 3.5035335103933907}",2.6,3.5416297746898473
6194285,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",1.5,Real Bed,1,1,0.5,-1,"This two story home is great for a person looking to relax and enjoy Austin on a budget! Situated in a safe and quiet neighborhood that is 12 miles from downtown. Guests are allowed to use the kitchen space (pantry/refrigerator/kitchen appliances), washer/dryer, printer, and TV downstairs with cable.  There is high-speed internet available to guests, I will give you the password once you arrive.  There is a neighborhood pool that guests may relax in, it requires an entry access card so just let me know if you are planning to use the pool.  I do have toiletries available if guests did not bring their own. (Shampoo/conditioner/soap/face wash) Towels are provided in the room. I do allow guests to bring their dog/cat, I do charge an addition $10 fee per pet (extra cleaning fee). In addition, your dog has to be house trained, non-destructive, out of his/her chewing phase, not noisy, and he/she has to get along with other dogs and cats. Also, I do need proof that your dog/cat is up to date o",10.0,2015-05-04,1,0.0,0.14285714285714285,1,0.001,0.75,0.896049896049896,0.01,4.8,0,0,30.373272983677143,https://www.airbnb.com/rooms/6194285,-97.65138221800524,1125,1,Private spacious two-story home,0.659,0.0,0.016,34.0,House,0.9,1.0,0.9,1.0,0.9,0.93,0.9,2.55,Private room,-1,0.0,,0.9245,-0.296,https://a1.muscache.com/ac/pictures/90609008/b84ae179_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9566,5.070918521265403,"{'2015-05-04': 5.1395245774575145, '2015-06-28': 4.940776647748447, '2015-07-10': 5.091330635033304, '2015-08-31': 4.87077737690752, '2015-10-24': 5.289314683810572}",1.1,5.312444662034771
753947,8,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Indoor Fireplace"",""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer}",4.5,Real Bed,4,4,0.0,250.0,"Lake Austin Waterfront home with boat dock and use of standup Paddleboards. 20 mins to downtown Austin near lots of shopping and fun things to do. Perfect for Austin Events this Modern Waterfront with Boat Dock is located on the very smooth, crystal clear water on the upper end of Lake Austin, very near Lake Travis.  You can walk to Lake Travis or drive to Hippy Hollow in about 5 mins.  Lake Austin is a constant level lake which does not have the low water troubles of Lake Travis. We can also provide Luxury Car Service to Local Events or Airport as well offer Private Helicopter Service and Private Aircraft Service out of Lakeway Airpark (3R9).  This private Airport is about 10 Mins away from the home.  The home is about 20 Mins to downtown Austin, TX. Entire home excluding garage We have a second home in the Caribbean. We split time between homes. Our home uses coded door locks. Usually someone would meet you during check in and show you around.",0.0,2014-08-25,10,0.9875,0.2,1,0.001,0.75,0.94058229352347,0.01,3.6,0,1,30.38379913650124,https://www.airbnb.com/rooms/753947,-97.91320916727358,1125,3,Lake Austin Waterfront Estate,0.0,0.0,0.006,-1,House,0.9,0.9,0.9,0.8,0.9,0.87,0.7,0.41,Entire home/apt,250.0,0.8661,3600,0.5106,0.0,https://a2.muscache.com/ac/pictures/10440143/adc91bc9_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/10440143/adc91bc9_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9187,3.8354408419703963,"{'2014-08-25': 3.8301978410145177, '2014-09-13': 3.7911357479113192, '2014-10-17': 3.831135331248994, '2015-01-31': 3.787385786973414, '2015-08-24': 3.942592503570115}",0.5,3.958292101123946
